"words","class","group","rooms","תרגום רצוי, אבל בלתי אפשרי (צמד מילים, או מילה שהופיעה במקום אחר)","comments","0.6866666667"
"cast | hurl | throw | toss | השלך | זרוק","IMPERATIVE_VERB","1031","in 000, 028, 029, 075","","ב 0 - זריקת חפץ באופן כללי, תשובה - ""שמור לעצמך"".
ב 28,29 - לזרוק את הזבל, 
ב 75 detonator - מופעל גם על ידי drop, שבו שמנו את 'זרוק'",""
"jog | run | רוץ","IMPERATIVE_VERB","1162","in 000, 053, 092","","",""
"anemometer | אנמומטר","NOUN","2123","in 000, 069","מד רוח","צביקה: אולי אפשר פשוט להסתפק ב'אנמומטר'?
אני מניח שעדיף בכל זאת להכניס את 'מד רוח'. נכון?",""
"pass | מעבר","NOUN","2446","in 000, 080","","",""
"activate |  הדלק | הפעל","IMPERATIVE_VERB","1152","in 000, 081, 503","","",""
"decoder | ring | טבעת | מפענח | מפענחת","NOUN","2250","in 000, 290","טבעת פענוח","",""
"ass | asshole | cock | cocksucker | cunt | dick | fuck | fucker | motherfucker | prick | pussy | shit | shithead","IMPERATIVE_VERB | NOUN","1204","in 000, 700, 703","","לא באמת צריך לתרגם...
עומר: אבל יהיו אנשים שינסו לקלל, צריך לתת להם תשובה...
צביקה: בסדר. אבל שמישהו אחר יוסיף את זה ;-)",""
"inventory | מטען | מלאי | מצאי","NOUN | IMPERATIVE_VERB","2111","in 000, 997","","לא בטוח לגבי 'חפצים'",""
"|חלץ | שלוף | pry","IMPERATIVE_VERB","1023","in 002","","",""
"qa","IMPERATIVE_VERB","1196","in 002","","לא צריך לתרגם",""
"area | room | scene | vicinity | אזור | חדר","NOUN","2063","in 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, 014, 015, 018, 025, 027, 028, 029, 040, 041, 042, 043, 044, 045, 046, 047, 048, 049, 050, 051, 052, 053, 054, 069, 071, 073, 074, 075, 080, 081, 085, 086, 090, 092, 093, 094, 095, 290, 420, 421, 470, 503, 600, 702","","",""
"around | סביב | מסביב","PREPOSITION","217","in 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, 014, 015, 028, 029, 041, 042, 043, 044, 045, 046, 047, 048, 049, 050, 051, 052, 053, 054, 069, 071, 073, 074, 075, 080, 081, 085, 086, 290, 420, 421, 503, 600, 690","","",""
"in | inside | into | בתוך","PREPOSITION","206","in 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, 014, 015, 028, 029, 062, 069, 081, 290, 421, 700, 703","","",""
"at","PREPOSITION","202","in 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, 014, 015, 028, 029, 700, 703","","חוץ מחדרים 7,700 זה תמיד אופציונלי. וגם בשניהם, לא באמת צריך את at",""
"ascend | climb | scale | טפס | תטפס | עלה | תעלה","IMPERATIVE_VERB","1060","in 002, 003, 004, 005, 006, 007, 008, 010, 011, 013, 015, 028, 052, 062, 073, 074, 075, 080, 094, 420, 421, 501, 600, 700, 703","","",""
"down | מטה | למטה","ADVERB","323","in 002, 003, 004, 005, 006, 007, 008, 010, 013, 014, 015, 025, 028, 029, 075, 080, 090, 094, 095, 420, 421, 470, 501, 700, 702, 703","","",""
"deck | floor | רצפה | ריצפה","NOUN","2069","in 002, 003, 004, 005, 006, 007, 008, 013, 014, 015, 025, 028, 029, 090, 095, 470, 700, 702, 703","","",""
"drag | pull | משוך | תמשוך | גרור | תגרור","IMPERATIVE_VERB","1015","in 002, 003, 004, 005, 006, 007, 008, 013, 042, 421, 700, 703","","",""
"dirt | ground | sand | soil | אדמה | קרקע | ארץ","NOUN","2070","in 002, 003, 004, 005, 006, 007, 008, 013, 054, 080, 090, 095, 501, 600, 700, 702, 703","","",""
"manipulate | move | הזז | תזיז","IMPERATIVE_VERB","1199","in 002, 003, 004, 005, 006, 007, 008, 013, 700, 703","","",""
"craft | cruiser | freighter | hull | rocket | saucer | ship | shuttle | spacecraft | spaceship | vehicle | vessel | חללית | ספינה | מעבורת | גשושית | | טיל","NOUN","2026","in 002, 003, 004, 005, 006, 007, 008, 014, 028, 029, 049, 062, 069, 070, 080, 094, 600, 700, 703","","",""
"through | דרך | בעד | מבעד","PREPOSITION","212","in 002, 003, 004, 005, 006, 007, 008, 015, 069, 700","","",""
"below | beneath | under | underneath | תחת | מתחת","PREPOSITION","208","in 002, 003, 004, 005, 006, 007, 008, 700, 703","","",""
"modular | מודולרי","ADJECTIVE","569","in 002, 003, 004, 005, 007, 008","","",""
"plug | פלאג | תקע","NOUN","2235","in 002, 003, 004, 005, 007, 008","","",""
"  spaceware  | אביזר","NOUN","2425","in 002, 003, 004, 005, 007, 008","אביזרי חלל | דברי חלל","זה לא תרגום מדויק, אבל הכי טוב שמסתדר לי עם הפארסר. הרעיון הוא ש spaceware זה ""גרוטאות חלל"".
עומר: אני חושב שזה מחסן חלל (על משקל warehouse). ראה שורה 50 בטקסטים לפי חדרים
צביקה: רק שנזכור - היה לנו דיון והחלטנו שזה 'אביזרי חלל'",""
"8 | eight | שמונה | שמונת","NOUN","4008","in 002, 003, 004, 005, 007, 008","","",""
"device | machine | מכשיר | מכונה","NOUN","2357","in 002, 003, 004, 005, 007, 008, 009, 010, 011, 012, 013, 029, 069, 072, 073, 074, 075, 090, 092, 290, 421, 700, 703","","",""
"artifact | object | חפץ | אוביקט","NOUN","2113","in 002, 003, 004, 005, 007, 008, 011, 013, 015, 700","","",""
"begin | start | התחל | תתחיל | הנע | תניע","INDICATIVE_VERB","413","in 002, 003, 004, 005, 007, 008, 013, 014, 092, 703","","",""
"motivator | warp | מוטיבטור | מניע ","NOUN","2086","in 002, 003, 004, 005, 007, 008, 013, 014, 700, 703","מניע שיגור","",""
"roll |  תגלגל","IMPERATIVE_VERB","1059","in 002, 003, 004, 005, 007, 008, 700","","",""
"hoist | lift | raise | הרם | תרים","IMPERATIVE_VERB | NOUN","1178","in 002, 003, 004, 006, 007, 008, 009, 014, 700","","",""
"open | פתח","IMPERATIVE_VERB","1014","in 002, 003, 004, 006, 008, 014, 015, 028, 029, 043, 069, 086, 090, 093, 600, 700, 703","","",""
"enter | reenter | | היכנס | תכנס | תיכנס","IMPERATIVE_VERB","1183","in 002, 003, 004, 007, 008, 013, 014, 028, 049, 062, 075, 081, 090","","",""
"pane | window | windshield | חלון","NOUN","2301","in 002, 003, 004, 007, 008, 014, 028, 029, 095, 470","","",""
"glass | זכוכית | זגוגית |","NOUN","2163","in 002, 003, 004, 007, 008, 043, 470","","",""
"break | damage | destroy | smash | שבור | תשבור | הרוס | תהרוס | מעך | תמעך | תמעוך","IMPERATIVE_VERB","1149","in 002, 003, 004, 007, 008, 043, 470, 700, 703","","",""
"nozzle | thruster | מדחף","NOUN","2231","in 002, 003, 004, 008","","",""
"board | mount | ride | תרכב | רכב | נהג","IMPERATIVE_VERB | NOUN","1056","in 002, 003, 004, 008, 013, 028, 421, 702","","",""
"chute | שיפוע | מורד | מדרון","NOUN","2398","in 002, 003, 004, 008, 052","","",""
"door | doorway | hatch | דלת | כניסה","NOUN","2110","in 002, 003, 006, 008, 012, 014, 015, 028, 029, 042, 043, 062, 081, 086, 090, 095, 600","","",""
"close | shut | סגור | תסגור","IMPERATIVE_VERB","1157","in 002, 004, 008, 014, 028, 029, 090","","",""
"engine | motor | מנוע","NOUN","2339","in 002, 008, 014, 421","","",""
"escape | ברח | בריחה","NOUN | IMPERATIVE_VERB","1131","in 002, 008, 095","","",""
"fix | repair | תקן | תתקן","IMPERATIVE_VERB","1142","in 002, 014","","",""
"air | oxygen | sky | אויר | אוויר | שמים | חמצן","NOUN","2326","in 002, 054, 080, 094, 501, 600","","",""
"flying","ADJECTIVE","580","in 003","","זה חלק מ ""flying craft"" - לא צריך לתרגם.",""
"walk","IMPERATIVE_VERB","1065","in 003","","לא צריך לתרגם",""
"implement | tool | יישום | כלי","NOUN","2173","in 003","","הקשר?",""
"sound | צליל | קול","NOUN","2226","in 003","","",""
"bore | שעמום | משעמם","NOUN","2383","in 003","","הקשר?",""
"acme | אקמה","NOUN","2384","in 003","","",""
"jup | jupiter | יופיטר","NOUN","2385","in 003, 004","","",""
"aperture","NOUN","2435","in 003, 004","פתח | חור  - אבל יש כבר hole, ועשוי להתבלבל עם open","לא לתרגם",""
"up | מעלה | למעלה","ADVERB","322","in 003, 004, 005, 006, 007, 008, 010, 013, 014, 015, 025, 028, 029, 043, 054, 074, 075, 080, 090, 094, 095, 420, 421, 470, 501, 700, 702, 703","","",""
"cavity | hole | opening | orifice | חור | חריר | פיתחה","NOUN","2210","in 003, 004, 006, 008, 014, 015, 025, 042, 046, 048, 050, 051, 075, 600, 700","","",""
"port | porthole | viewport | אשנב","NOUN","2101","in 003, 004, 008","","",""
"box | case | crate | ארגז | קופסה | קופסא | תיבה","NOUN","2192","in 003, 004, 043, 069, 470","","",""
"2 | two | שניים | שתיים | שני | שתי | דו","NOUN","4002","in 003, 004, 095","","",""
"iron | metal | steel | ברזל | מתכת | פלדה","NOUN","2370","in 003, 006, 008, 009, 010, 700, 703","","",""
"go | לך","INDICATIVE_VERB","411","in 003, 007, 013, 014, 015, 062, 075, 081, 470, 703","","",""
"debris | junk | |","IMPERATIVE_VERB | NOUN","1128","in 003, 008, 009, 010, 052, 421, 470, 700, 703","","",""
"scrap | חתיכה | פיסה | קטע","NOUN","2297","in 003, 008, 009, 010, 700, 703","","",""
"stand | עמוד","NOUN | IMPERATIVE_VERB","1081","in 003, 008, 010, 013, 014, 015, 028, 029, 700, 703","","הקשר?",""
"descend | רד","IMPERATIVE_VERB","1068","in 003, 008, 010, 075","","",""
"place | מקם | ","NOUN | IMPERATIVE_VERB","1129","in 003, 008, 014, 015, 090","","",""
"ladder | סולם","NOUN","2281","in 003, 008, 015, 052, 074, 075, 600, 700, 703","","",""
"erect | זקוף","NOUN | IMPERATIVE_VERB","1084","in 003, 008, 015, 700, 703","","הקשר?",""
"lower | הנמך","ADJECTIVE | IMPERATIVE_VERB","1070","in 003, 009, 010, 011, 012, 013","","הקשר?",""
"clean | נקה","IMPERATIVE_VERB","1200","in 003, 028, 029, 700, 703","","",""
"bow | bowtie | fighter | חרטום | קשת | פפיון","NOUN","2386","in 003, 070, 094","","",""
"listen | הקשב","IMPERATIVE_VERB","1064","in 003, 700, 703","","",""
"tie | קשור","IMPERATIVE_VERB","1187","in 003, 700, 703","","",""
"cease | stop | עצור | הפסק","INDICATIVE_VERB","412","in 004","","",""
"green | ירוק","ADJECTIVE | NOUN","502","in 004","","",""
"bite | נשוך","NOUN | IMPERATIVE_VERB","1110","in 004","","זה והשנים הבאים הם",""
"buff | shine | הברק","IMPERATIVE_VERB","1163","in 004","","בדיחה לא מצחיקה...",""
"tickle | דגדג","IMPERATIVE_VERB","1201","in 004","","",""
"wheel | גלגל","NOUN","2027","in 004","","",""
"branch | limb | ענף | זרוע","NOUN","2165","in 004","","",""
"tower | מגדל","NOUN","2271","in 004","","",""
"dome | כיפה","NOUN","2436","in 004","","",""
"pit | shaft | tunnel | פיר | בור | מנהרה","NOUN","2098","in 004, 005, 006, 012, 046, 095, 420, 421","","",""
"android | arnoid | automaton | battlebot | droid | robot | terminator | רובוט | מחסל | אנדרואיד | דרואיד | רובוטקרב","NOUN","2045","in 004, 005, 007, 008, 013, 047, 052, 421, 470, 501","","",""
"appendage | arm | hand | paw | יד | זרוע | כף-יד","IMPERATIVE_VERB | NOUN","2207","in 004, 005, 008, 047, 700, 703","","הקשר? (האם צריך כף-יד? כתוב שזה פועל...)",""
"onto | לתוך","PREPOSITION","204","in 004, 005, 010, 013, 703","","",""
"finger | fingerprint | אצבע | טביעה | טביעת | טביעת-אצבע","NOUN","2350","in 004, 005, 470","","הקשר? האם באמת צריך 'טביעת אצבע'?",""
"big | large | massive | גדול | מסיבי","ADJECTIVE","551","in 004, 008","","",""
"off | כיבוי | כבוי","PREPOSITION","205","in 004, 008, 010, 013, 014, 081, 085, 421, 470, 503, 600, 703","","הקשר?",""
"pole | מוט | תורן","NOUN","2122","in 004, 008, 052, 066, 069, 600","","",""
"stair | staircase | stairway | step | מדרגות | מדרגה","IMPERATIVE_VERB | NOUN","2073","in 004, 008, 074, 086, 421, 501","","",""
"bucket | דלי","NOUN","2082","in 004, 009","","",""
"conveyer | מסוע","NOUN | IMPERATIVE_VERB","2085","in 004, 009, 010","","",""
"elevator | מעלית","NOUN","2134","in 004, 009, 086, 420, 421","","",""
"cog | gear | גלגל-שיניים","NOUN","2292","in 004, 421","גלגל שיניים","הקשר? אולי גם 'הילוכים' ו 'שן' (של גלגל שיניים)",""
"pulley | גלגלת","NOUN","2388","in 004, 421","","",""
"protrusion | הבלטה | בליטה | הזדקרות ","NOUN","2429","in 005","","",""
"toaster | מצנם | מקלה | טוסטר","NOUN","2437","in 005","","",""
"stage | tanker | מיכלית","NOUN","2377","in 005, 006, 007","","",""
"crawl | זחל","IMPERATIVE_VERB","1066","in 005, 006, 007, 008, 015, 501, 703","","",""
"tube | גליל | ","NOUN","2138","in 005, 006, 008","","",""
"console | panel | plate | plates | פנל | שמשה | שימשה | פאנל | שידה | שדה","NOUN","2095","in 005, 006, 008, 013, 014, 095, 420, 700, 703","","",""
"metallic | מתכתי","ADJECTIVE","586","in 005, 007","","",""
"head | ראש | קרקפת","NOUN","2154","in 005, 007, 008, 047, 470, 700, 703","","",""
"converse | speak | talk | שוחח | דבר","IMPERATIVE_VERB","1147","in 005, 013, 014, 025, 028, 029, 052, 053, 069, 085, 092, 093, 095, 421, 470, 501, 503, 702","","",""
"eva | flight | galaxy | space | universe | גלקסיה | יקום | חלל","NOUN","2245","in 005, 014","","",""
"explore | frisk | search | חפש | חקור","IMPERATIVE_VERB","1008","in 005, 014, 052, 090, 092, 093, 421, 702","","",""
"mog | מוג","NOUN","2405","in 005, 042, 470","","ראה הערה בחדר 42, הודעה 7",""
"bone | skeleton | שלד | עצם","NOUN","2378","in 005, 470","","",""
"absent | lost | missing | חסר | אבוד | נעדר","ADJECTIVE","520","in 006","","",""
"fine | good | טוב | מצוין | תקין | אחלה","ADJECTIVE","529","in 006","","",""
"bad | תקול | מקולקל ","ADJECTIVE","535","in 006","","(אני יודע - זה לא bad - אבל זה לפי ההקשר)",""
"side | צד","NOUN","2125","in 006","","",""
"cave | cavern | grotto | מאורה |  מערה","NOUN","2259","in 006","","",""
"mushroom | פטריה","NOUN","2415","in 006","","",""
"grate | grating | louver | louvre | vent | סורג | שבכה | תריס | ונטה","NOUN","2284","in 006, 007, 703","","",""
"conduit | pipe | pipeline | | צינור | צנור","NOUN","2279","in 006, 008, 010, 700, 703","","",""
"cable | cord | wire | חוט | כבל","IMPERATIVE_VERB | NOUN","2019","in 006, 008, 014, 015, 700, 703","","",""
"partition | wall | קיר | מחיצה","NOUN","2124","in 006, 012, 013, 014, 015, 028, 029, 046, 086, 090, 092, 095, 470, 600, 700, 702, 703","","",""
"ceiling | תקרה","NOUN","2126","in 006, 013, 014, 015, 025, 028, 029, 090, 421, 470, 700, 702, 703","","",""
"above | over | מעל","PREPOSITION","211","in 006, 013, 066, 700, 703","","",""
"all | every | כל","ADJECTIVE","552","in 006, 015","","",""
"mice | mouse | rat | rodent | מכרסם | חולדה | עכברוש | עכבר","NOUN","2280","in 006, 015","","",""
"animal | beast | creature | monster | חיה | יצור | מפלצת","NOUN","2185","in 006, 015, 025, 028, 029, 042, 043, 047, 470","","",""
"left | שמאל | שמאלה","NOUN","2348","in 006, 015, 090, 095, 702","","",""
"conceal | hide | החבא | התחבא","IMPERATIVE_VERB","1150","in 006, 069, 501","","",""
"jagged | worn | בלוי | שחוק | משונן","ADJECTIVE","584","in 006, 700","","לא בטוח שצריך 'משונן'",""
"broken | damaged | poked | הרוס","ADJECTIVE","578","in 007","","הקשר? 'שבור' תפוס",""
"dense | דחוס | צפוף","ADJECTIVE","588","in 007","","לוודא ש'צפופה' עובד",""
"helmet | קסדה","NOUN","2202","in 007","","",""
"wreck | גרוטאה","NOUN","2356","in 007","","",""
"whip | שוט","NOUN","2433","in 007","","לא מבין מה הולך בטקסט באנגלית. למה הם מתכוונים ב whip, אבל מהתשובה, נראה שזה איך שהוא פירמידה...
אבל זה לא באמת חשוב",""
"to | אל","PREPOSITION","200","in 007, 008, 010, 013, 081, 700, 703","","",""
"give | offer | present | תן | הצג | הענק","IMPERATIVE_VERB","1154","in 007, 025, 470","","",""
"eye | עין","NOUN","2218","in 007, 025, 470","","",""
"edge | קצה | סף","NOUN","2219","in 007, 075, 600, 700","","",""
"programmer | מתכנת","NOUN","2428","in 007, 700","","לא ברור איזה מתכנת יש בחדר 7...
קשור למוזרות של whip",""
"with | עם | באמצעות | בעזרת","ASSOCIATION","152","in 008","","",""
"nerve | גיד","ADJECTIVE","575","in 008","","זה בהקשר לטיפוס על צוואר",""
"round | מעוגל","ADJECTIVE","576","in 008","","",""
"call | קרא","IMPERATIVE_VERB","1165","in 008","","",""
"reach | גש","IMPERATIVE_VERB","1197","in 008","","",""
"handle | ידית","NOUN","2000","in 008","ידית (knob)","",""
"neck | throat | צואר | צוואר | גרון","NOUN","2015","in 008","","",""
"hose | זרנוק","NOUN","2142","in 008","","",""
"leggo | lego | לגו","NOUN","2382","in 008","","",""
"diagnostic | אבחון | אבחנה","NOUN","2422","in 008","","",""
"pyramid | triangle | פירמידה | משולש","NOUN","2434","in 008","","",""
"blade | להב | חרב","NOUN","2441","in 008","","",""
"chair | seat | כסא | מושב","NOUN","2314","in 008, 009, 010, 011, 012, 013, 014, 028, 029, 702, 703","","",""
"garbage | litter | refuse | trash  | פסולת | אשפה | זבל | פח","IMPERATIVE_VERB | NOUN","1137","in 008, 009, 015, 028, 029, 090, 095, 700, 702, 703","","",""
"cabin | cockpit | תא | קבינה | קוקפיט","NOUN","2237","in 008, 014","","",""
"compartment | תא","NOUN","2328","in 008, 014","","",""
"scum | טינופת","NOUN","2412","in 008, 014","","",""
"afix | attach | connect | fasten | install | reconnect | secure | splice | התקן | חבר | חזק","IMPERATIVE_VERB","1075","in 008, 014, 015","","",""
" generator | reactor | גנרטור | מחולל | כור","NOUN","2028","in 008, 014, 015, 072, 073, 074, 075","","",""
"play | שחק | נגן","IMPERATIVE_VERB","1092","in 008, 029, 290","","לא משתמשים במשמעות 'נגן' ב SQ3",""
"aluminum | mallard | ברוז | ברווז | אלומיניום","NOUN","2380","in 008, 049, 094","","",""
"little | small | tiny | קטן | זעיר","ADJECTIVE","550","in 008, 095","","",""
"domino | dominoes | tinker | tinkertoy | toy | דומינו | צעצוע","NOUN","2381","in 008, 470","","",""
"disembark | evacuate | exit | leave | צא | פנה | עזוב","IMPERATIVE_VERB | NOUN","1169","in 009, 010, 011, 012, 013, 014, 025, 028, 081, 090, 290, 470","","",""
"claw | טופר | ציפורן | שרוט","NOUN | IMPERATIVE_VERB","2220","in 009, 010, 011, 012, 013, 703","","",""
"grabber | לוכד","NOUN","2355","in 009, 010, 011, 012, 013, 703","","",""
"heap | mound | pile | ערמה | ערימה","NOUN","2229","in 009, 010, 015, 052, 700, 703","","",""
"tackle | ציוד","NOUN","2390","in 010","","",""
"sheet | גליון | גיליון | סדין | מצעים","NOUN","2416","in 010","","",""
"post | עמדה","NOUN","2440","in 010","","",""
"control | בקרה | שליטה | פיקוח","NOUN | IMPERATIVE_VERB","2097","in 010, 013, 014, 095, 420, 421, 703","","אצלנו זה תמיד noun, ולא verb",""
"banister | bannister | rail | railing | track | מעקה | מסילה | גדר","NOUN","2306","in 010, 013, 074, 421, 700, 703","","",""
"leap | polevault | vault | נתר | זנק","IMPERATIVE_VERB","1086","in 010, 066, 703","","",""
"w | west | מערב | מערבה","NOUN","2035","in 012, 015, 700, 703","","",""
"corridor | hall | hallway | passage | passageway | מסדרון | ","NOUN","2067","in 012, 090","","",""
"monitoring | ניטור","ADJECTIVE","574","in 013","","",""
"safety | בטיחות","ADJECTIVE","579","in 013","","",""
"bin | סל | פח","NOUN","2264","in 013","","",""
"out | outer | outside | בחוץ | החוצה","PREPOSITION","207","in 013, 014, 028, 029, 470, 700, 703","","",""
"comp | computer | crt | monitor | screen | מחשב | מסך | מוניטור","NOUN","2334","in 013, 014, 029","","",""
"system | מערכת","NOUN","2397","in 013, 015","","",""
"lamp | light | spotlight | זרקור | פנס | מנורה | אור | האר","IMPERATIVE_VERB | NOUN","2364","in 013, 015, 700, 703","","",""
"beat | hit | kick | pound | punch | slap | stomp | strike | הכה | בעט | סטור ","IMPERATIVE_VERB","1175","in 013, 028, 029, 042, 052, 085, 095, 290, 470, 700, 702, 703","","",""
"attack | kill | murder | תקוף | הרוג | רצח","IMPERATIVE_VERB","1024","in 013, 052, 053, 069, 085, 095, 421, 470, 501","","",""
"stick | מקל","NOUN","2062","in 013, 052, 421, 703","","",""
"pedestal | platform | בסיס | מעמד | כן | פלטפורמה | במה","NOUN","2148","in 013, 074, 095, 421","","",""
"holler | scream | shout | yell | צרח | צעק","INDICATIVE_VERB","422","in 013, 700, 703","","",""
"back | גב | מאחור","PREPOSITION | ADJECTIVE | NOUN | IMPERATIVE_VERB","215","in 013, 703","","",""
"forward | קדימה","PREPOSITION","223","in 013, 703","","",""
"backward | אחורה","PREPOSITION","224","in 013, 703","","",""
"drive | operate | נהג | הפעל","IMPERATIVE_VERB","1195","in 013, 703","","",""
"knob | lever | ידית | מנוף","NOUN","2160","in 013, 703","","",""
"throttle | מצערת","NOUN","2296","in 013, 703","","",""
"shoot | תירה","IMPERATIVE_VERB","1005","in 014","","",""
"launch | שגר","IMPERATIVE_VERB","1053","in 014","","",""
"fly | טוס ","IMPERATIVE_VERB","1074","in 014","","",""
"park | חנה","NOUN | IMPERATIVE_VERB","1104","in 014","","",""
"land | נחת","IMPERATIVE_VERB","1191","in 014","","",""
"star | כוכב","NOUN","2153","in 014","","",""
"cushion | sofa | ספה | כורסה | כורסא | כרית","NOUN","2268","in 014","","",""
"video | חוזי | וידאו","NOUN","2420","in 014","","",""
"access | גישה","NOUN","2421","in 014","","",""
"prize | פרס","NOUN","2443","in 014","","",""
"scott | סקוט","NOUN","2444","in 014","","הכוונה לסקוט מרפי",""
"hal | האל","NOUN","2423","in 014, 015","","לא מבין את הכוונה, אבל לא נראה לי חשוב",""
"crystal | gem | orium | קריסטל | מרגלית | אוריום | יהלום","NOUN","2248","in 014, 015, 025, 470, 700, 703","","",""
"sit | שב","IMPERATIVE_VERB","1153","in 014, 028, 029, 501, 702, 703","","",""
"ramp | כבש | רמפה","NOUN","2205","in 014, 062, 086, 095","","",""
"gun | weapon | weapons | נשק | תותח","NOUN","2061","in 014, 069, 085","","",""
"insert | הכנס","IMPERATIVE_VERB","1057","in 014, 090, 290","","",""
"replace | return | החזר | החלף","IMPERATIVE_VERB","1130","in 014, 092","","",""
"tile | אריח","NOUN","2251","in 014, 700","","",""
"passenger | thing | traveler | traveller | נוסע | ","NOUN","2054","in 014, 702","","צ: הורדתי את 'דבר'. לא באמת משתמשים בזה במשמעות thing, וזה מפריע ל speak",""
"by | מאת | מטעם","PREPOSITION","226","in 015","","",""
"chunk | fragment | hunk | part | piece | wad | חלק | פיסה","NOUN","2298","in 015","","",""
"cover | cowling | lid | top | מכסה | כיסוי | עטיפה","NOUN","2299","in 015","","",""
"hook | וו | מתלה","NOUN","2408","in 015","","",""
"support | תמיכה","NOUN","2417","in 015","","",""
"jar","NOUN","2407","in 015, 421","","לא ברור מה הכוונה, ולא נראה חשוב",""
